trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
216,False,"{'a': 0.015, 'e': 0.11532512103806251}",25,14,-26.063369136793373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
217,False,"{'a': 0.015, 'e': 0.1141776169108365}",20,14,8.716151381201056,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.015, 'e': 0.11304153064044985}",30,16,16.98741590784594,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.015, 'e': 0.11191674861732888}",20,7,-2.893174428731505,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
220,False,"{'a': 0.015, 'e': 0.11080315836233387}",25,12,17.585306292366404,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.015, 'e': 0.10970064851551141}",20,14,10.26815086815861,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.015, 'e': 0.10860910882495796}",20,16,7.128807222698143,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.015, 'e': 0.10752843013579495}",20,7,9.437764288660773,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.015, 'e': 0.1064585043792528}",25,13,20.37493166426858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.015, 'e': 0.10539922456186433}",20,14,11.83586979895074,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.015, 'e': 0.104350484754765}",25,14,2.5154634842404855,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.015, 'e': 0.1033121800831002}",20,6,29.28621714948101,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.015, 'e': 0.10228420671553744}",25,9,14.284183206919701,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.015, 'e': 0.1012664618538834}",25,18,14.325410879519817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.015, 'e': 0.1002588437228037}",20,8,8.909639672945712,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.015, 'e': 0.09926125155964566}",20,7,-29.71035428228399,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
232,False,"{'a': 0.015, 'e': 0.09827358560436154}",25,11,22.35483424788661,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.015, 'e': 0.09729574708953276}",20,14,11.598217876470814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.015, 'e': 0.09632763823049303}",25,13,10.654087109532398,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.015, 'e': 0.09536916221554961}",20,14,12.110301106192354,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.015, 'e': 0.09442022319630235}",25,8,25.349069332602358,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.015, 'e': 0.09348072627805847}",25,8,-13.632823915756163,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
238,False,"{'a': 0.015, 'e': 0.09255057751034329}",20,11,13.12402167948337,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.015, 'e': 0.09162968387750484}",25,11,24.12507973946683,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.015, 'e': 0.09071795328941251}",20,14,10.29387703008619,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.015, 'e': 0.08981529457224763}",30,24,12.11088469053169,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.015, 'e': 0.08892161745938634}",30,20,18.780669056082946,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.015, 'e': 0.08803683258237255}",30,2,36.730401829111806,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.015, 'e': 0.0871608514619813}",25,10,18.698148297104833,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.015, 'e': 0.0862935864993705}",20,8,-22.03530806705699,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
246,False,"{'a': 0.015, 'e': 0.08543495096732123}",25,18,16.83820358127506,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.015, 'e': 0.08458485900156469}",20,8,6.898875703379563,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.015, 'e': 0.08374322559219596}",20,0,28.86927258953877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
249,False,"{'a': 0.015, 'e': 0.08290996657517266}",30,13,-10.904631948314226,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
250,False,"{'a': 0.015, 'e': 0.0820849986238988}",30,12,26.49544185932104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.015, 'e': 0.08126823924089167}",30,18,23.8996274476171,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.015, 'e': 0.08045960674953244}",25,14,19.96413913847639,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.015, 'e': 0.07965902028589801}",25,2,35.49480540284802,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.015, 'e': 0.07886639979067495}",25,17,15.62366155980464,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.015, 'e': 0.07808166600115313}",20,7,20.28036215377513,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.015, 'e': 0.07730474044329974}",20,8,17.08531844669075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.015, 'e': 0.07653554542391151}",20,2,16.463388581826877,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.015, 'e': 0.07577400402284548}",20,12,14.112476344052824,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.015, 'e': 0.07502004008532698}",25,7,23.387239305004165,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.015, 'e': 0.07427357821433388}",25,14,-33.699346975715066,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
261,False,"{'a': 0.015, 'e': 0.0735345437630571}",20,15,10.744790318983357,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.015, 'e': 0.07280286282743559}",25,10,23.668486304297073,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.015, 'e': 0.0720784622387661}",20,16,9.539955351321652,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.015, 'e': 0.07136126955638605}",20,15,8.188016942241354,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.015, 'e': 0.0706512130604296}",35,21,12.017923850523255,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.015, 'e': 0.06994822174465536}",30,16,26.21206441728245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.015, 'e': 0.069252225309346}",20,15,7.378360951900515,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.015, 'e': 0.06856315415427791}",20,7,23.078767204607725,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.015, 'e': 0.06788093937176144}",20,10,21.93283141678938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.015, 'e': 0.06720551273974976}",30,19,-22.74763824709182,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.015, 'e': 0.06653680671501686}",35,22,25.28986657746599,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.015, 'e': 0.06587475442640295}",20,9,20.384685509137796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.015, 'e': 0.06521928966812753}",20,7,21.9245842694537,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.015, 'e': 0.06457034689316847}",20,13,13.071611631354484,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.015, 'e': 0.06392786120670757}",30,21,14.916170022243275,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.015, 'e': 0.0632917683596407}",25,0,19.321114724804502,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
277,False,"{'a': 0.015, 'e': 0.06266200474215315}",20,13,1.4340930430735999,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.015, 'e': 0.06203850737735829}",20,8,19.559887841878798,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.015, 'e': 0.06142121391500013}",25,8,31.175138779710913,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.015, 'e': 0.06081006262521795}",20,6,26.80984798084942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.015, 'e': 0.06020499239237354}",25,18,11.615737499847661,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.015, 'e': 0.05960594270893937}",30,4,41.65065803009351,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.015, 'e': 0.05901285366944784}",25,11,28.863227260568028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.015, 'e': 0.05842566596450083}",20,9,20.783270821716386,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.015, 'e': 0.057844320874838456}",20,10,19.162597275722415,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.015, 'e': 0.05726876026546736}",20,11,20.78632173317881,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.015, 'e': 0.0566989265798469}",20,10,19.549198115627007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.015, 'e': 0.056134762834133725}",20,12,16.6416621069211,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.015, 'e': 0.05557621261148306}",25,12,10.223123907130775,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.015, 'e': 0.05502322005640723}",20,4,24.28330630059687,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.015, 'e': 0.05447572986918986}",20,0,33.8841361443468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.015, 'e': 0.05393368730035602}",25,19,9.996519926274434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.015, 'e': 0.053397038145197084}",20,11,3.288048601024121,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.015, 'e': 0.05286572873835037}",30,19,20.81634475989212,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.015, 'e': 0.05233970594843238}",20,11,15.459339264116107,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.015, 'e': 0.05181891717272583}",25,15,17.77238689897255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.015, 'e': 0.05130331033191911}",30,19,1.867034601880972,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.015, 'e': 0.0507928338648985}",20,13,11.941219185662877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.015, 'e': 0.050287436723591865}",25,18,14.23931899630889,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.015, 'e': 0.049787068367863944}",25,4,13.683464874058485,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
301,False,"{'a': 0.015, 'e': 0.04929167876046215}",20,10,-47.92644763670754,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
302,False,"{'a': 0.015, 'e': 0.04880121836201296}",30,19,5.8524203476596925,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.015, 'e': 0.04831563812606777}",30,21,14.695167819729113,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.015, 'e': 0.04783488949419837}",30,22,12.85696191557843,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
